page,index,会社名,勤務地,給与
10.0,38.0,スタープラスチック工業株式会社 | 《創業102年》有名商品のパッケージを手掛ける包装資材メーカー,☆転勤なし／U・Iターン歓迎 ☆車バイク通勤OK／無料駐車場あり └明石・姫路から通勤している先輩…,"◇月給18万1,500円〜26万1,500円 （一律職務手当・住宅手当・食事手当を含む） ＜一律手当の内訳＞ 職務…"
10.0,39.0,株式会社 立志 | ［京都から次世代型教育を発信］自立学習『RED』の立ち上げ募集,【京都市内のいずれかに配属】 ★研修後は、京都・加古川・西宮・滋賀エリアのいずれかにて教室の新規立…,月給20万円〜30万円 ※経験・能力などを考慮のうえ、優遇します ※ここでいう『経験』とは教育業界だけ…
10.0,40.0,株式会社N-Agent | 美容業界のWEBコンサルティング【 大阪府緊急雇用対策に賛同 】,【本社】 兵庫県神戸市中央区京町78番地 三宮京町ビル2F ※転勤の可能性はありません。 ※U・I…,■未経験の方 ⇒月給23万円〜25万円 （固定残業代30時間、4万円〜を含む） ■経験者の方 ※WEB広告運用…
10.0,41.0,ネッツトヨタウエスト兵庫株式会社 | 【TOYOTAグループ】売上高122億円超の安定企業｜年間休日110日,【転勤なし＆U・Iターン歓迎！】 ◆本社／兵庫県神戸市長田区大道通5-101-2 ※西代駅より徒歩…,"◆月給／18万9,000円以上＋諸手当＋賞与（年2回） ※新卒初任給です。 　経験・スキルに応じて優遇します。"
10.0,42.0,サンキ マリン サービス株式会社 | 国内外の大手海運会社と取引多数！業界トップクラスの売上シェア,【転勤なし／U・Iターン歓迎】 兵庫県加古川市加古川町寺家町47-1 ファーミンインテリジェントビ…,月給20万円〜40万円 ※年齢、経験、能力を考慮の上、優遇します。
10.0,43.0,奥村機械株式会社 | 大阪府緊急雇用対策に賛同／基本的に18時頃に退社◎／転勤なし,【関東(埼玉)・関西(大阪、兵庫、滋賀)の各営業所の募集】 ※転勤なし！＆U・Iターン歓迎！ ※勤…,■月給20万円〜30万円 + 賞与年2回 + 諸手当 ※経験・年齢を考慮の上、当社規定により優遇します ※固定…
10.0,44.0,アマノ企業株式会社 | 表彰実績多数/年間休日107日/原則転勤なし/残業月平均12.5時間,【U・Iターン歓迎／マイカー通勤可】 福山本社、庄原、神戸に希望を考慮の上配属いたします。 本社…,"【神戸営業所】 月給 301,000円〜500,000円＋他手当 ※上記には25,000円〜(12.5時間分)の固定残業代を含…"
10.0,45.0,ミザック株式会社 | 1933年創業／充実の福利厚生／大阪府緊急雇用対策に賛同,【マイカー・バイク通勤OK／大阪市内勤務で転勤なし】 大阪本社／大阪市北区堂島浜1-4-16　アク…,月給26万円以上＋賞与（年2回）＋資格手当 ※経験・資格・能力を考慮の上決定 【モデル年収】 ＜未経験(…
10.0,46.0,株式会社タツタ | <創業60年超>業界トップクラスの実績と安定性を誇る老舗専門商社,【関東・関西・四国・九州のいずれかに配属】 ■東京営業所 ／ 東京都日野市多摩平1丁目4-4 <ア…,月給21万円〜23万円＋ 諸手当　／　賞与（年2回） （一律業務手当含む） ※経験・能力を考慮の上、当社規…
10.0,47.0,株式会社タツタ | 《若手積極採用》未経験OK／残業は月10時間ほど／手厚い教育体制,【関東・関西・九州のいずれかの支店・営業所に配属】 ■東京営業所 ／ 東京都日野市多摩平1丁目4-…,"月給18万5,000円〜 ＋ 諸手当　／　賞与（年2回） （一律業務手当含む） ※経験・能力を考慮の上、当社規…"
10.0,48.0,福田株式会社 | 創業50年のギフトメーカー／無借金経営のリーディングカンパニー,※転勤なし≪本社／尼崎市での募集≫ ※U・Iターンも歓迎 ◆兵庫本社／尼崎市武庫之荘1-22-4…,◆経験者／月給30万円以上 ◆未経験者／月給23万円~29万円 ※経験・能力等考慮して決定します ※試用期…
10.0,49.0,株式会社日本ビジネスデータープロセシングセンター | 転勤なし！年間休日120日以上|完週休2日制(土日祝),【転勤なしでずっと同じ場所で働けます！】 名古屋市立大学病院(名古屋市瑞穂区)をはじめとした、愛知…,"月給：160,000円〜＋諸手当 時給：1,050円〜＋諸手当 ※試用期間終了後、月給または時給のどちらか選択で…"
10.0,50.0,光建工株式会社 | 【景気の影響を受けず好調】伊丹市をメインに上水道工事を担当！,本社／兵庫県伊丹市松ケ丘1丁目201番地 ※転勤はありません ※マイカー通勤可能です（駐車場あり）…,・未経験の方／月給：25万円以上 ＋ 諸手当 ・土木工事にかかわった経験のある方／月給：30万円以上 ＋ …
12.0,1.0,株式会社トラスト | 仕事もプライベートも充実できる♪【20代～30代が活躍中】,【高松（林道駅）での募集！】 ※U・Iターン歓迎 ※駅近＆アクセス抜群 高松営業所 香川県高松市松…,【27歳以上の方】 月給25万円〜40万円+諸手当 【22歳〜26歳の方】 月給22万円〜+諸手当 【21歳以下の方…
12.0,2.0,ネッツトヨタゾナ神戸株式会社 | 手厚い研修や福利厚生が魅力/定着率抜群/週休2日/残業はほぼ無し,兵庫県内（尼崎、伊丹、川西、宝塚、西宮、神戸、三木市）の店舗のいずれかで勤務。 ★勤務地は希望又は…,■月給17万5000円以上+資格手当 ※経験・能力を考慮のうえ、決定します。
12.0,3.0,株式会社ＥｄｕＬａｂ | 【まんてん個別指導塾】など兵庫県下に学習塾を6教室運営,《神戸市内の6拠点のいずれかに配属します！》 ■兵庫駅前教室／兵庫県神戸市兵庫区羽坂通4丁目2-1…,◆月給／22万円〜30万円 ※経験・能力を考慮し、優遇いたします。 《モデル年収》 年収375万円/26歳　　…
12.0,4.0,医療法人社団栄宏会 | 医療と介護を兼ね備える施設｜高い有給取得率｜マイカー通勤可,＼ UIターン歓迎・マイカー通勤OK・転居を伴う転勤なし ／ 栄宏会小野病院： 兵庫県小野市天神町…,月給22万円〜27万円＋諸手当＋賞与年2回 ※上記はあくまで最低保証額です。 　年齢、経験、能力を考慮…
12.0,5.0,株式会社NEO DAISEI | 専門技術を用いて自動車専用道路の安全を守るシゴト☆未経験歓迎,兵庫県加古川市八幡町上西条地先　東播磨道管理棟 ＜アクセス＞ 東播磨南北道路　八幡稲美ランプすぐ…,月給：18万〜21万円 ※経験・年齢を考慮の上、当社規定により決定いたします。 ※試用期間3カ月あり（期…
12.0,6.0,株式会社パスゲート | ★入社1年目で月収35万円以上も可！／週休2日制,【転勤なし！大阪本社（梅田徒歩）募集】 大阪本社／大阪府大阪市北区中崎西2-1-1　ゼネラルビル6…,【経験者】月給：27万円以上＋諸手当＋インセンティブあり（月ごと） 【未経験者】月給：24万円以上＋諸…
12.0,7.0,株式会社魚崎設計 | 公共案件の直請け率100％★播州エリアで信頼を集める設計事務所,【転勤なし／マイカー通勤OK／U・Iターン歓迎（住宅支援あり）】 本社／兵庫県姫路市田寺1-2-7…,＜何らかの設計経験者の場合＞ 月給20万円〜50万円 ＜完全未経験者の場合＞ 月給17万円〜 ※共に経験・…
12.0,8.0,URSハリマ株式会社 | 『ウツミリサイクルシステムズ』と『三菱商事』による協業事業！,【11月NEW OPEN】 ※車・バイク通勤OK ※U・Iターン歓迎 ＼9月頃から勤務可能です／…,"月給19万2,000円以上+諸手当+賞与年2回 【月収例】月収28万3,000円（入社1年目） ※経験・能力などを考…"
12.0,9.0,株式会社タクマテクノス | 未経験歓迎｜東証一部上場企業「タクマ」グループ｜福利厚生◎,【マイカー通勤OK】 京都府宮津市字須津32番地　宮津与謝クリーンセンター内,"■月給：175,000円〜23万円 ※年齢・経験・能力を考慮の上、決定します 【試用期間】 3ヶ月間 その間の…"
12.0,10.0,URSハリマ株式会社 | 『ウツミリサイクルシステムズ』と『三菱商事』による協業事業！,【11月NEW OPEN】 ※車・バイク通勤OK ※U・Iターン歓迎 ＼9月頃から勤務可能です／…,"月給19万2,000円以上+諸手当+賞与年2回 【月収例】月収24万7,000円（入社1年目） ※経験・能力などを考…"
12.0,11.0,ブリーズベイホテル株式会社 | 業界トップクラスのホテル再生事業／ マスコミ大注目の経営方針,当社の運営ホテルと今後取得するホテルが勤務地となります。 ■全国137店舗の当社運営ホテル 【北海…,◆月給／25万円以上 ※経験・年齢を考慮の上、当社規定により優遇します。 ※研修期間3ヶ月〜6ヶ月（研…
12.0,12.0,合同会社曾呂利新左衛門 | 生そば「曾ろ利」での増員募集！近い将来には新店OPEN予定！,【転勤なし／U・Iターン歓迎します】 兵庫県芦屋市船戸町2-1 ※JR芦屋駅より徒歩5分,月給21万円〜37万円（一律業務手当て3万円含む） ＋ 諸手当 ＋ 賞与年2回 ※年齢・経験・スキルを十分考…
12.0,13.0,株式会社マイスティア | 【世界的メーカーとの取引多数！国内外へ事業展開する優良企業】,《 転勤なし／UIターン歓迎 》 愛知、岩手、長崎、広島、東京、山口、 三重、滋賀、宮城、山梨、静…,月給25万円〜35万円＋諸手当 ※入社後、経験に応じて研修を実施します。 　最短1週間〜最長1ヶ月程度の…
12.0,14.0,株式会社あなぶきリアルエステート,■転勤あり ■各県のモデルルーム勤務です。 香川県、徳島県、高知県、愛媛県 岡山県、鳥取県、 島根…,月給20万円以上 ※経験・年齢を考慮の上、当社規定により優遇します。 【報奨金】 (1)契約及び仲介１住…
12.0,15.0,株式会社ドリームフロントホールディングス | ライフワークバランスがとれる兵庫の優良企業！,【転勤なし／U・Iターン歓迎！マイカー・バイク・自転車通勤OK！】 兵庫県尼崎市常松1-5-20…,■年俸350万〜550万円以上 ※試用期間6ヶ月あり（給与の変動はありません） ※年齢や経験を考慮の上、金…
12.0,16.0,株式会社シンドウ工業 | 【建築金物の生産・販売で業界トップクラス】★面接1回,★転勤はありません。 ★マイカー通勤OK！ 【山東ヤードセンター】 兵庫県朝来市山東町大垣185-1,"月給190,000円〜220,000円 ＋ 賞与（年2回） ※経験・能力・スキル等を考慮の上、当社規定により決定し…"
12.0,17.0,梶谷工業株式会社 | 【未経験から一流へ】高待遇であなたをお迎え◆全員面接実施中◆,関西エリアを中心とした各地現場 ※直行・直帰OK ※社用車一人一台貸与 西宮工事事務所／兵庫県西宮…,月給24万円〜＋賞与年2回(昨年度実績2〜4ヶ月分)＋各種手当支給 ※経験・スキルを考慮の上、決定します。…
12.0,18.0,有限会社ウオハシ | 創業100年以上の歴史を持つ安定商社／ノルマなし／転勤なし,【転勤なし／U・Iターン歓迎／マイカー・バイク通勤OK！】 兵庫県姫路市神屋町2-23 ＜アクセス…,月給20万円〜25万円 + 諸手当 + 賞与年2回 ※年齢・経験・スキルを十分考慮の上、当社規定により優遇い…
12.0,19.0,株式会社大黒商事 | PCサポート・OA機器等の提案◇キヤノンビジネスパートナー店,兵庫県神戸市中央区国香通4-1-2新大黒ビル 自社ビル・本社勤務 【アクセス】 阪急「春日野道」駅…,"月給21万円〜30万円 固定残業代（7,630円〜10,900円／5時間相当）含む ※5時間超過分は別途支給 ※年齢…"
12.0,20.0,尼高運輸株式会社 | 【★前職の職種に関わらず、経験をもとに給与の相談応じます】,★希望を考慮して【神戸市・尼崎市・西宮市】のいずれかの物流拠点に配属 ◆ 尼崎本社 兵庫県尼崎市南…,"月給25万円〜40万8,000円+諸手当+賞与年2回 ※年齢・経験・スキルを十分考慮の上、当社規定により優遇い…"
12.0,21.0,株式会社エアウィーヴ | スポーツ選手や芸能人も利用する寝具を開発・販売／4期連続増収,◆エアウィーヴ製品を扱う全国の百貨店・専門店 ※転居を伴う転勤なし ※勤務地はご希望を考慮 ※店舗…,"◆首都圏（東京、神奈川、埼玉、千葉、茨城、栃木、群馬） 月給24万8,000円〜35万8,000円 ◆中部・関西…"
12.0,22.0,東日本明星株式会社 | 抜群の安定性！東証一部上場「日清食品グループ」の正社員募集！,◇神戸工場：兵庫県神戸市東灘区深江浜町34-2 ※転勤はありません ※自転車・バイク・マイカー通勤…,◇月給：16万1000円以上 ※別途、諸手当支給あり ※賞与年2回あり ※上記月給はあくまでも最低保障です…
12.0,23.0,株式会社ビショップ | ☆賞与4～10ヶ月分支給(昨年実績)／完全週休2日制・残業少なめ☆,【転勤なし】 ■兵庫支社：兵庫県川西市花屋敷1-17-26 ［交通アクセス］ 阪急「川西能勢口」駅…,【経験者】月給25万円〜40万円＋各種手当 【未経験者】月給20万円〜25万円＋各種手当 ※経験・スキルな…
12.0,24.0,株式会社ワールドビズ | ★7日以上の大型休暇あり！,《地域密着で活躍！奈良・徳島・大阪・兵庫で働こう》 ☆車通勤OK ☆U・Iターン歓迎 〜勤務地詳細…,◆月給18〜35万円以上＋諸手当 ※経験・能力などを考慮し、決定します ※試用期間中（3ヶ月）も条件面に…
12.0,25.0,株式会社マイスティア | 【 世界的大手デバイスメーカーの製品に携わる！】★WEB面接OK,◆IUターン歓迎 神奈川または熊本へ配属になります。 ■神奈川県厚木市 ■熊本県菊池郡菊陽町 ※神…,月給25万円以上 ＋ 技術手当 ＋ 特別手当 ※上記の他に、家族手当、資格手当、住宅手当等あり ※試用期間…
12.0,26.0,株式会社ヤマダデンキ | 旧社名株式会社ヤマダ電機◆(株)ヤマダホールディングスグループ,▼下記のいずれかの店舗で勤務▼【転勤ナシ・希望を考慮して配属】 北海道‐3店舗 青森県‐2店舗 岩…,【月給】24万円〜28万円+充実のインセンティブ+諸手当（残業手当など） ※経験・能力を考慮の上、規定に…
12.0,27.0,株式会社ププレひまわり | 【中途1年目社員の生の声掲載中】⇒会社・仕事の魅力をCheck！,《 U・Iターン歓迎／エリア限定採用あり 》 希望や居住地を考慮し、いずれかの店舗へ配属します。…,"■月給180,000円〜300,000円＋賞与年2回＋各種手当 ※能力や年齢などを考慮して、支給額を決定します。 …"
12.0,28.0,広洋海運有限会社 | 創業114年「たをの海運グループ」。給与も高水準／若手活躍中！,全国の寄港地から乗船いただきます。 ※居住地の近くから乗船できるよう配慮いたします ※乗船のための…,＜経験者・有資格者＞ 月給：27万円〜65万円 ＜未経験者＞ 月給：25万円〜 ※年齢・経験・年齢・能力を…
12.0,29.0,株式会社デコルテ | 東証マザーズ上場企業グループ＊インセン有＊月8日以上休み,★埼玉県大宮店2021年8月、その他順次新規出店！ 『東京』『神奈川』 『京都府』『大阪府』『兵庫…,"【関東】 ◆経験者：月給20万2000円〜35万円＋インセン ※固定残業代(月5時間分/7,115円〜)を含む。超過…"
12.0,30.0,有限会社エフクラス | <全国から応募歓迎>未経験OK/完全週休2日/残業少なめ/ノルマなし,【転勤なし／マイカー通勤OK】 ■兵庫県丹波篠山市住吉台99-1 ＜アクセス＞ JR「篠山口駅」か…,■月給25万円〜30万円 ※経験・能力・適性などを考慮のうえ、優遇いたします ※試用期間3ヶ月あり（期間…
12.0,31.0,上野紙料株式会社 | 【創業118年の安定企業】20代・30代のワーママも活躍中♪,《姫路本社・明石支店・三田営業所で募集中》 ※転勤はありません！ ※事務：姫路本社・三田営業所 ※…,◇月給／17万円〜21万円 ＋ 諸手当 + 賞与年2回 ※上記はあくまでも最低保障額です ※年齢、経験、能力を…
12.0,32.0,有限会社エフクラス | 家賃補助＆引っ越し費用補助あり／月給25万円～確約／未経験歓迎,【転勤なし／マイカー通勤OK】 ■天下一品 三田店／兵庫県三田市川除144-15 ＜アクセス＞ J…,■月給25万円〜30万円 ※経験・能力・適性などを考慮のうえ、優遇いたします ※試用期間3ヶ月あり（期間…
12.0,33.0,住友ゴム工業株式会社 | 「DUNLOP」「FALKEN」など国内有数のタイヤメーカー,【白河工場】 福島県白河市双石広久保1番地 ＜交通アクセス＞ JR白河駅より車で13分 ※転勤はあ…,"時給：1,425円以上 + 各種手当 + 一時金 ※経験・年齢・能力を考慮のうえ、決定致します。 【モデル月…"
12.0,34.0,藤田建設株式会社 | 設立60年！岡山に根付いた安定企業／公共案件も多数！,【転勤なし】 ■本社／ 岡山県備前市東片上28番地 ■赤穂営業所／兵庫県赤穂市古浜町203 ■瀬戸…,月給　25万円〜40万円 ＋ 諸手当 ※年齢、経験、能力を考慮の上、優遇します。 ※試用期間2ヶ月あり （…
12.0,35.0,学校法人関西金光学園 | 関西福祉大学｜＼＼応募書類締切：令和3年9月2日（木）必着／／,◆関西福祉大学／兵庫県赤穂市新田380-3 ※JR『播州赤穂』駅 南口ロータリースクールバス乗り場…,"◆月給20万1,000円以上+各種手当 ※上記は、新卒(大学卒)初任給の場合の給与です ※中途採用の場合は経験…"
12.0,36.0,住井運輸株式会社 | 条件を満たす応募者全員と面接確約/若手積極採用/完全週休2日制,《転勤なし／U・Iターン歓迎》 ◆兵庫県神戸市中央区波止場町6-7 ※神戸港（作業現場）まで送迎あ…,◆月給20万円〜30万円 + 諸手当 ※残業代は別途全額＆お弁当も毎日支給します ※試用期間3ヶ月あり（待…
12.0,37.0,株式会社エークリエーションプラス | 【コロナ禍でも業績好調】★住宅に関する総合サービス事業を展開,【社用車通勤OK(1人1台あり)】※マイカーもOK！ 神奈川県横浜市都筑区茅ヶ崎中央39-3 《ア…,月給／20万円以上 ＋歩合給(月平均30万円)を支給 ※経験やスキルに応じて優遇します。 ※頑張りや実績に…
12.0,38.0,柳原経営会計事務所 | 1989年設立の老舗会計事務所／大阪府緊急雇用対策に賛同,《転勤なし》 ◆大阪府箕面市萱野1-7-17-101 ※U・Iターン歓迎,月給20万円〜22万円+諸手当+賞与(年2回)+交通費全額支給 ※上記は最低保障金額となります。 ※年齢・経験…
12.0,39.0,株式会社イトー | 15年連続増収!人気のDIY商品・園芸用品の専門商社/若手積極採用,☆オフィスはさいたま市北区 ☆社用車貸与&通勤利用可 ＜東京営業所＞ 埼玉県さいたま市北区宮原町4…,◎月給／25万2500円以上 （一律手当含む）+賞与年2回 ※年齢・能力により優遇します。 ※固定残業代45時…
12.0,40.0,株式会社浜名技術コンサルタント | ［大阪府緊急雇用対策に賛同］創業40年、公共事業に貢献,【交通手段】 地下鉄「北浜駅」より徒歩5分 大阪府大阪市中央区道修町2-2-6　道修町後藤ビル3Ｆ,月給20万円〜50万円 ※経験・能力を考慮して決定します ※試用期間3ヵ月あり（同条件） 【モデル月収】…
12.0,41.0,TOYO TIRE株式会社 | 【トーヨータイヤ】※東証一部上場　★20～30代活躍中！,【U・Iターン歓迎/マイカー通勤OK！】※無料駐車場あり 仙台工場／宮城県岩沼市吹上3-5-1 ＜…,"月給190,000円〜260,000円 ※当社規定により経験、年齢を考慮し決定します。 ※試用期間2〜3ヶ月（給与変…"
12.0,42.0,ロイコ・ジャパン株式会社 | 《ドイツ発、世界的工具メーカー・ロイコ社の日本法人》,【栃木限定募集！！】 《UIターン歓迎&マイカー通勤OK》 ◇本社：〒329-4303/栃木県栃木…,【月給】18万円〜 ★入社前のご経験や、年齢に応じて柔軟に対応いたします★ ※試用期間あり(3か月/試…
12.0,43.0,株式会社EIC　 | 北須磨ドライビングスクール【大阪府緊急雇用対策に賛同】,【北須磨ドライビングスクール】 兵庫県神戸市須磨区車字梨川750 ※マイカー・バイク通勤OK！転勤…,≪教習指導員資格の取得後または取得済みの方≫ ■月給20万円〜23万7000円＋各種手当 ≪教習指導員資格…
12.0,44.0,日立金属工具鋼株式会社 | 【日立金属グループ】＊住宅手当＊借上げ社宅制度あり,◇◆マイカー通勤OK！Uターン・Iターン歓迎！兵庫県・栃木県限定募集！◆◇ ☆希望の勤務地はご要望…,◆月給17万円〜27万円 ※年齢、経験、能力を考慮のうえ、優遇します。 ※時間外手当は別途支給
12.0,45.0,株式会社イトー | 15年連続増収！自社展開するDIYツールブランド「WHATNOT」が好調,【転居を伴う転勤なし／マイカー通勤OK】 兵庫県三木市鳥町709-1 ※U・Iターン歓迎 ※社員の…,月給23万円〜35万円 ※経験や能力を考慮のうえ、決定いたします
12.0,46.0,株式会社イマナカ | 兵庫限定募集｜賞与年2回×1回の支給平均100万円＋決算賞与も！,本社／兵庫県多可郡多可町加美区箸荷554 ※現場へは直行直帰です（兵庫県下がメイン） ※マイカー通…,月給／22万円〜50万円＋諸手当 ＋賞与最大年3回 ※試用期間3ヶ月（条件等変更なし）
12.0,47.0,日野興業株式会社 | 【創業84年の老舗メーカー】◎前年度賞与6.6カ月分 ◎転勤なし,▼▼名古屋支店で限定採用▼▼ <国際センター駅から徒歩4分> 【名古屋支店】名古屋市中区錦1-7-…,月給17万8000円〜 ※経験やスキルを考慮し決定します。 ※試用期間3ヵ月（同条件）
12.0,48.0,オリエンタル白石株式会社 | ＜20～30代活躍中！＞賞与7.5ヶ月分(2020年実績)/各種手当充実◎,＼全国各地のプロジェクト先で活躍！／ ※ご勤務先は、適性を考慮して決定いたします。 ☆現場への直行…,"月給215,000円〜297,000円（一律手当含む）＋家賃補助＋各種手当 ※スキル・年齢を考慮の上、当社規定に…"
12.0,49.0,学校法人関西学院,■西宮上ケ原キャンパス（兵庫県西宮市） ■西宮聖和キャンパス（兵庫県西宮市） ■神戸三田キャンパス…,◇月給20万400円＋ 諸手当 ※上記はあくまでも最低保障です ＜月給例＞ 月給32万円＋諸手当／大卒・30歳…
12.0,50.0,株式会社ケイアイ・テック | ★セカンドキャリア歓迎★9割以上が既婚者！★20代～30代活躍中,【転勤なし！U・Iターン歓迎！マイカー通勤可】 ■神戸市西区見津が丘2丁目4番地の4 【アクセス】…,【経験者の場合】 ■月給30万円〜50万円+各種手当 ※経験や能力を考慮のうえ決定いたします。 【未経験…
14.0,1.0,日本精化株式会社 | 残業少なめ&有給休暇取得率70％以上／業績好調の成長企業,◎U・Iターン歓迎！ ◆高砂工場 兵庫県高砂市梅井5丁目1番1号 《アクセス》 「山陽曽根駅」から…,月給19万2000円〜+諸手当+賞与(年2回) ※上記は最低保証金額です ※経験・能力を考慮の上、決定いたしま…
14.0,2.0,スリープラス株式会社 | 【黒字経営＆さらなる成長を目指す増員募集】◎自社内開発あり,本社（兵庫県神戸市）およびクライアント先企業（神戸市・大阪市）での勤務となります。 ☆転居を伴う転…,月給／28万円〜50万円 ※経験・スキル・前給等を十分考慮し、相談の上決定します。 ※試用期間3か月あり…
14.0,3.0,株式会社田口建設 | 設立以来黒字無借金経営｜未経験歓迎｜土日祝休み｜引越補助あり,＼引っ越し補助制度あり／ 兵庫県加古川市平荘町新中山31 ☆マイカー通勤OK・転勤なし ☆現場によ…,月給25.5万〜57万円+諸手当+賞与年2回 ※あなたの経験や年齢を考慮し、支給額を決定します ※試用期間が3…
14.0,4.0,伊丹産業株式会社 | 【事業所は全国に186カ所＆グループ企業21社の安定企業】,☆現住所や希望の配属先などを考慮し決定 ☆転勤なし／マイカー勤務OK 【LPガスの配送・営業】 ■…,◆月給20万円〜30万円＋諸手当 + 賞与年2回（実績：3.6ヶ月分） ※年齢・経験・スキルを十分考慮の上、 …
14.0,5.0,株式会社イトー | 人気のDIY商品を扱うメーカー商社★完休2日★残業平均月20h程度,★地域密着で働く！転勤はありません。 ★U・Iターン歓迎！ 兵庫県三木市の「関西ロジス」または「商…,月給／18万円以上 ※経験や能力、年齢を考慮の上、決定致します。
14.0,6.0,株式会社ケーティエス | ＜面接1回のスピード採用＞3月に完成したキレイな自社ビル勤務♪,【転勤なし！マイカー・バイク通勤OK】 ◆神戸市東灘区御影本町7丁目4-8 ※U・Iターン歓迎 ★…,◆月給25万円〜 + 諸手当 +賞与年2回（＋決算賞与） ※年齢・経験・スキルを十分考慮の上、 　当社規定…
14.0,7.0,サンヨー環境株式会社 | 設立57年！神戸市行政案件や保健所連携案件多数！若手積極採用中,◆本社／神戸市中央区浜辺通2-1-30 ※転勤はありません 各線「三宮・神戸三宮」駅より徒歩10分,◆月給：25万円以上 ＋ 諸手当 ＋ 賞与年2回 ※上記はあくまでも最低保障額です ※年齢、経験、能力を考…
14.0,8.0,株式会社ケアネット | 【福祉用具サービスの専門企業】,UIターン歓迎＆転勤なし＆マイカー通勤OK！ 兵庫県豊岡市、又は京都府与謝郡に配属となります 但馬…,"月給20万円〜24万円（基本給+定額的に支払われる一律手当含む） ※基本給　163,000〜196,000円 ※固定残…"
14.0,9.0,富士岐工産株式会社 | 創業62年！卓越した現場力が強み◎,北九州工場／福岡県北九州市若松区南二島2-28-1 ※マイカー通勤可／無料駐車場あり ※現場先へは…,"月給 154,300円〜222,800円＋諸手当 ※初年度年収例240万円〜 ※能力・年齢を考慮 ※試用期間3ヶ月(待遇…"
14.0,10.0,株式会社日本ビジネスデータープロセシングセンター | 本社(三宮)勤務★7月3日（土）マイナビ転職フェア神戸に出展★,＼「神戸本社」勤務／ ◎神戸本社 兵庫県神戸市中央区伊藤町119番地　大樹生命神戸三宮ビル3階,【実務経験をお持ちの方】 神戸勤務：月給20万円〜30万円+諸手当 【未経験の方】 神戸勤務：月給17万円…
14.0,11.0,ベストガーデン株式会社 | 未経験でも月給23万円～☆安心の待遇でスタート！,【転勤なし／U・Iターン歓迎！】 □本社：兵庫県明石市魚住町西岡2108-7 ＜アクセス＞ JR「…,□月給23万円〜+各種手当+賞与 ※試用期間3カ月（期間中の待遇の変更はございません。） ※経験・能力を…
14.0,12.0,高井税理士事務所 | ＜安定基盤＞創業から61年目を迎える地域密着型の税理士事務所,《転勤なし/U・Iターン歓迎》 ※神戸市内の自社ビルで活躍！ ◆兵庫県神戸市長田区川西通2-11…,◆月給20万円〜 + 諸手当 ※年齢・経験・スキルを十分考慮の上、 　当社規定により優遇いたします ※試…
14.0,13.0,鳥取興業株式会社 | 【転勤なし】業界大手の大本紙料グループ＆公共案件多数で安定◎,＼＼新施設オープン／／ ★転居を伴う転勤なし ★駐車場完備！ ★UIターン歓迎 【本社】 兵庫県南…,"日給1万円〜1万2,000円+諸手当 　⇒月給イメージ22万円〜26万4,000円+諸手当(22日計算) ※経験・年齢に応…"
14.0,14.0,株式会社ＺＵＮＤ | ★ラー麺ずんどう屋★宇宙一のラーメン屋を目指すため増員募集★,【希望を考慮し、大阪・兵庫・岡山のいずかれに配属】 ※原則、転居を伴う転勤なし ※車・バイク通勤O…,月給25万円以上＋諸手当 ※経験・能力などを考慮して、決定します 【月収例】 月収38万円（諸手当含む…
14.0,15.0,株式会社秀商 | 問合せOK⇒0794-88-6355/昇給でベースアップ/未経験歓迎！,【 U・Iターン歓迎／転勤なし！】 兵庫県三木市別所町小林685−8 ※マイカー通勤OK,月給30万円〜40万円＋ 諸手当 ※5年ごとに基本給が2万円ベースアップ ※試用期間2ヶ月あり（給与変動な…
14.0,16.0,株式会社ミツワ | 20代活躍中／産育休取得実績あり／地域密着＆転居を伴う転勤なし,兵庫県（川西市、宝塚市、三木市）で展開しているドコモショップ。 ※希望を考慮 ※U・Iターン歓迎…,◆月給：20万円以上＋各種手当 ※経験やスキルを考慮の上、当社規定に従って優遇いたします。 《モデル…
14.0,17.0,株式会社ベルパーク | ★くるみんマーク取得★年間休日116日★平均年収487万円,★全国363店舗のキャリアショップを運営中！ ★U・Iターンも歓迎！ ★あなたの希望を最大限考慮！…,"◆月給23万円〜32万2,000円＋時間外手当 ※上記給与は、地域によって異なります ※時間外手当は別途全額…"
14.0,18.0,株式会社ＺＵＮＤ | ★ラー麺ずんどう屋★宇宙一のラーメン屋を目指すため増員募集★,「ラー麺ずんどう屋」の各店舗 ※希望を考慮し決定します。 【兵庫県】 14店舗 ※7月15日、新た…,月給27万円以上 ※経験・能力などを考慮して、決定します 【月収例】 月収38万円（諸手当含む。入社3年…
14.0,19.0,明光商事株式会社 | 【設立57年の老舗専門商社／売上180億超の無借金経営】,【神戸本社】兵庫県神戸市灘区中郷町4-2-1 ★転勤なし ★U/Iターン歓迎,◆月給22万円〜28万円（一律手当込み） ※試用期間6ヶ月あり（待遇は変わりません） ◆予定年収：330万…
14.0,20.0,株式会社スタッフサービス | ＜在宅あり＞★プライベート充実の働き方を応援します,★転勤なし／兵庫県内（神戸市、明石市　など）★ 転居を伴う転勤はありません。 ※株式会社スタッフサ…,"■月給17万円〜【賞与あり★残業代・交通費支給】 ※就業開始半年後から「月額手当」有 　1,000円 ※交通…"
